tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
578548,KDT,ds_attribute,1010976740,9,8776,8b3289c9-a740-4091-a56d-e4d55af526b5,1010976740,1010976741,9,11181,7,attribute
578548,KDT,ds_attribute,1015466575,9,6485,8b3289c9-a740-4091-a56d-e4d55af526b5,1015466575,1015466576,9,8394,6,attribute
578548,KDT,ds_attribute,1381388109,10,321,8b3289c9-a740-4091-a56d-e4d55af526b5,1381388109,1381388110,10,2607,9,attribute
578548,KDT,ds_attribute,1275876992,9,811,8b3289c9-a740-4091-a56d-e4d55af526b5,1275876992,1275876993,9,2682,6,attribute
578548,KDT,ds_attribute,1300571083,11,202,8b3289c9-a740-4091-a56d-e4d55af526b5,1300571083,1300571084,11,2020,6,attribute
578548,KDT,ds_attribute,800702812,9,6872,8b3289c9-a740-4091-a56d-e4d55af526b5,800702812,800702813,9,8962,7,attribute
578548,KDT,ds_attribute,803696035,7,5603,8b3289c9-a740-4091-a56d-e4d55af526b5,803696035,803696036,7,7580,8,attribute
578548,KDT,ds_attribute,1200298107,11,296,8b3289c9-a740-4091-a56d-e4d55af526b5,1200298107,1200298108,11,1889,5,attribute
578548,KDT,ds_attribute,1066351369,6,184,8b3289c9-a740-4091-a56d-e4d55af526b5,1066351369,1066351370,6,1862,4,attribute
578548,KDT,ds_attribute,994514013,7,6558,8b3289c9-a740-4091-a56d-e4d55af526b5,994514013,994514014,7,8567,7,attribute
578548,KDT,ds_attribute,1276625298,10,663,8b3289c9-a740-4091-a56d-e4d55af526b5,1276625298,1276625299,10,2622,6,attribute
578548,KDT,ds_attribute,1008731823,8,6489,8b3289c9-a740-4091-a56d-e4d55af526b5,1008731823,1008731824,8,8416,6,attribute
578548,KDT,ds_attribute,789478225,8,160,8b3289c9-a740-4091-a56d-e4d55af526b5,789478225,789478226,8,1969,4,attribute
578548,KDT,ds_attribute,1381388109,7,266,8b3289c9-a740-4091-a56d-e4d55af526b5,1381388109,1381388110,7,2038,5,attribute
578548,KDT,ds_attribute,1253427818,10,255,8b3289c9-a740-4091-a56d-e4d55af526b5,1253427818,1253427819,10,2036,7,attribute
578548,KDT,ds_attribute,1022949633,9,6797,8b3289c9-a740-4091-a56d-e4d55af526b5,1022949633,1022949634,9,8948,6,attribute
578548,KDT,ds_attribute,973561451,7,6448,8b3289c9-a740-4091-a56d-e4d55af526b5,973561451,973561452,7,8322,6,attribute
578548,KDT,ds_attribute,1345469431,10,681,8b3289c9-a740-4091-a56d-e4d55af526b5,1345469431,1345469432,10,2435,6,attribute
578548,KDT,ds_attribute,1227237115,10,445,8b3289c9-a740-4091-a56d-e4d55af526b5,1227237115,1227237116,10,2727,6,attribute
578548,KDT,ds_attribute,781246861,7,5319,8b3289c9-a740-4091-a56d-e4d55af526b5,781246861,781246862,7,7310,9,attribute
578548,KDT,ds_attribute,993765707,9,6737,8b3289c9-a740-4091-a56d-e4d55af526b5,993765707,993765708,9,8509,7,attribute
578548,KDT,ds_attribute,1368666911,7,345,8b3289c9-a740-4091-a56d-e4d55af526b5,1368666911,1368666912,7,2431,6,attribute
578548,KDT,ds_attribute,1324516869,11,110,8b3289c9-a740-4091-a56d-e4d55af526b5,1324516869,1324516870,11,12072,882,attribute
